second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
21,high,499,499,0,499,1.0,19.030461000511423,5842.966316999446,5970.928324940287,1632.5920638517234,1.2354645703453573
22,high,501,501,0,501,1.0,18.871611999202287,5800.740122000207,5974.265548999028,1444.9144413213794,27.47453344272799
23,high,493,493,0,493,1.0,18.842095001673442,5769.030904799729,5961.719693239502,1326.3447637950803,1.1774690803576955
24,high,490,490,0,490,1.0,18.894657500823087,5839.3012798009295,5963.969484309728,1536.8461304020605,1.1196781217222451
25,high,502,502,0,502,1.0,18.936676499833993,5796.450904849917,5956.525705309215,1412.7474851055745,10.575082683953944
26,high,488,488,0,488,1.0,18.857670000215876,5572.17608004994,5953.624922810195,1074.140060805326,1.1529421312843624
27,high,503,503,0,503,1.0,18.914902000688016,5524.153042000216,5938.122975680164,1075.147120007965,5.543146043601125
28,high,509,509,0,509,1.0,18.85890800076595,5765.221005600324,5966.413087958936,1141.6630955736764,1.1331604539009277
29,high,510,510,0,510,1.0,18.866520499614126,5490.853341499496,5842.906372580819,1077.0611323940743,1.1351632375408371
30,high,493,493,0,493,1.0,18.93967099931615,4134.545235199039,5133.390099318931,574.0742637809134,9.774448772077427
